origin;destination;num_orders
MADIGNANO;OFFANENGO;88
PALAZZO PIGNANO;MONTE CREMASCO;88
SOLAROLO RAINERIO;SONCINO;88
GRONTARDO;BRESCIA;88
CASTELLEONE;SERGNANO;87
SERGNANO;Agnadello;87
VESCOVATO;OFFANENGO;87
CASTELLEONE;SAN GIOVANNI IN CROCE;87
SPINO D'ADDA;SOSPIRO;87
OFFANENGO;BAGNOLO CREMASCO;86
CASALMAGGIORE;MONTE CREMASCO;86
CASTELLEONE;TRESCORE CREMASCO;86
SERGNANO;CASTELLEONE;86
SERGNANO;PESCAROLO ED UNITI;85
RIVOLTA D'ADDA;MONTODINE;85
CASALMAGGIORE;CASTELLEONE;85
CASTELLEONE;DOVERA;85
DOVERA;OFFANENGO;84
RIVOLTA D'ADDA;PIANENGO;84
VESCOVATO;PANDINO;84
RIVOLTA D'ADDA;ISOLA DOVARESE;84
OFFANENGO;VESCOVATO;84
SORESINA;SORESINA;84
SPINO D'ADDA;RIVOLTA D'ADDA;83
PIADENA DRIZZONA;CREMONA - CDA;83
CASTELLEONE;CASALBUTTANO;83
CREMA;VESCOVATO;83
SPINO D'ADDA;CASTELLEONE;82
CASALMAGGIORE;PIADENA DRIZZONA;82
PIADENA DRIZZONA;SOSPIRO;82
RIVOLTA D'ADDA;SERGNANO;81
VESCOVATO;SONCINO;81
CREMA;CAPERGNANICA;81
CREMA;MONTODINE;80
SERGNANO;SOSPIRO;80
SERGNANO;PIADENA DRIZZONA;80
SERGNANO;PERSICO DOSIMO;80
GUSSOLA;BRESCIA;80
PIZZIGHETTONE;PIZZIGHETTONE;80
BAGNOLO CREMASCO;Agnadello;80
GADESCO PIEVE DELMONA;SORESINA;78
SOSPIRO;BRESCIA;78
BAGNOLO CREMASCO;PIANENGO;78
SERGNANO;MONTODINE;78
UNIONE MUNICIPIA;OFFANENGO;77
BAGNOLO CREMASCO;SOSPIRO;77
SOLAROLO RAINERIO;PANDINO;76
SOLAROLO RAINERIO;MONTE CREMASCO;76
OFFANENGO;SERGNANO;76
ISOLA DOVARESE;BRESCIA;75
SAN GIOVANNI IN CROCE;SONCINO;75
CASTELLEONE;CAPRALBA;73
SONCINO;SORESINA;73
OSTIANO;BRESCIA;73
CASTELLEONE;ISOLA DOVARESE;73
CREMA;ISOLA DOVARESE;73
SERGNANO;PIANENGO;72
BAGNOLO CREMASCO;PIADENA DRIZZONA;72
BAGNOLO CREMASCO;RIPALTA CREMASCA;72
CAPRALBA;MADIGNANO;72
CREMA;FIESCO;71
SERGNANO;BAGNOLO CREMASCO;71
CASALMAGGIORE;SPINO D'ADDA;71
OFFANENGO;CASALMAGGIORE;70
SERGNANO;RIVOLTA D'ADDA;70
OFFANENGO;ISOLA DOVARESE;69
SPINO D'ADDA;MADIGNANO;69
BRESCIA;SESTO ED UNITI;69
PIZZIGHETTONE;PANDINO;68
OFFANENGO;CAPERGNANICA;68
TRESCORE CREMASCO;OFFANENGO;67
OFFANENGO;CINGIA DE' BOTTI;67
PALAZZO PIGNANO;SONCINO;67
RIVOLTA D'ADDA;DOVERA;67
RIVOLTA D'ADDA;CAPRALBA;66
CASTELLEONE;PIZZIGHETTONE;66
RIVOLTA D'ADDA;CAPERGNANICA;66
SAN GIOVANNI IN CROCE;SAN GIOVANNI IN CROCE;66
PALAZZO PIGNANO;PANDINO;66
CASALMAGGIORE;RIPALTA CREMASCA;65
CASTELLEONE;SOLAROLO RAINERIO;65
SAN GIOVANNI IN CROCE;PANDINO;65
SERGNANO;CREMONA - CDA;65
CASALMAGGIORE;PIANENGO;65
RIVOLTA D'ADDA;SAN GIOVANNI IN CROCE;65
PIADENA DRIZZONA;MADIGNANO;65
OFFANENGO;UNIONE MUNICIPIA;65
SPINO D'ADDA;Agnadello;65
PESCAROLO ED UNITI;PANDINO;64
CREMA;PIZZIGHETTONE;64
RIVOLTA D'ADDA;CENTRO FUMETTO A. PAZIENZA;63
CAPRALBA;SONCINO;63
FIESCO;BRESCIA;63
CASTELLEONE;CINGIA DE' BOTTI;63
SERGNANO;CAPRALBA;63
SONCINO;PANDINO;63
RIVOLTA D'ADDA;TRESCORE CREMASCO;63
