;data_richiesta;biblioteca_destinazione
Agnadello;2017-10-17;2
Agnadello;2017-10-19;1
Agnadello;2017-10-20;1
Agnadello;2017-10-21;1
Agnadello;2017-10-23;2
Agnadello;2017-10-24;3
Agnadello;2017-10-25;2
Agnadello;2017-10-26;6
Agnadello;2017-10-27;1
Agnadello;2017-10-28;3
Agnadello;2017-10-29;1
Agnadello;2017-10-30;5
Agnadello;2017-10-31;1
Agnadello;2017-11-02;4
Agnadello;2017-11-04;3
Agnadello;2017-11-05;2
Agnadello;2017-11-08;1
Agnadello;2017-11-09;1
Agnadello;2017-11-10;2
Agnadello;2017-11-11;1
Agnadello;2017-11-13;2
Agnadello;2017-11-14;2
Agnadello;2017-11-15;1
Agnadello;2017-11-16;3
Agnadello;2017-11-20;5
Agnadello;2017-11-21;1
Agnadello;2017-11-23;1
Agnadello;2017-11-24;2
Agnadello;2017-11-25;2
Agnadello;2017-11-27;1
Agnadello;2017-11-28;2
Agnadello;2017-11-29;1
Agnadello;2017-11-30;2
Agnadello;2017-12-01;3
Agnadello;2017-12-02;2
Agnadello;2017-12-04;3
Agnadello;2017-12-05;1
Agnadello;2017-12-06;5
Agnadello;2017-12-07;5
Agnadello;2017-12-09;1
Agnadello;2017-12-10;1
Agnadello;2017-12-11;8
Agnadello;2017-12-12;3
Agnadello;2017-12-13;1
Agnadello;2017-12-14;1
Agnadello;2017-12-15;2
Agnadello;2017-12-16;2
Agnadello;2017-12-18;5
Agnadello;2017-12-19;2
Agnadello;2017-12-20;1
Agnadello;2017-12-22;1
Agnadello;2017-12-31;1
Agnadello;2018-01-03;5
Agnadello;2018-01-04;3
Agnadello;2018-01-05;1
Agnadello;2018-01-06;1
Agnadello;2018-01-07;1
Agnadello;2018-01-08;2
Agnadello;2018-01-10;3
Agnadello;2018-01-11;2
Agnadello;2018-01-12;1
Agnadello;2018-01-15;4
Agnadello;2018-01-16;1
Agnadello;2018-01-17;2
Agnadello;2018-01-18;7
Agnadello;2018-01-19;1
Agnadello;2018-01-20;2
Agnadello;2018-01-21;1
Agnadello;2018-01-22;2
Agnadello;2018-01-23;5
Agnadello;2018-01-25;1
Agnadello;2018-01-26;1
Agnadello;2018-01-27;3
Agnadello;2018-01-28;2
Agnadello;2018-01-29;5
Agnadello;2018-01-30;3
Agnadello;2018-01-31;6
Agnadello;2018-02-01;3
Agnadello;2018-02-02;2
Agnadello;2018-02-03;3
Agnadello;2018-02-05;3
Agnadello;2018-02-07;6
Agnadello;2018-02-08;1
Agnadello;2018-02-10;4
Agnadello;2018-02-11;1
Agnadello;2018-02-12;3
Agnadello;2018-02-13;1
Agnadello;2018-02-14;2
Agnadello;2018-02-15;1
Agnadello;2018-02-16;2
Agnadello;2018-02-17;4
Agnadello;2018-02-19;5
Agnadello;2018-02-20;2
Agnadello;2018-02-21;4
Agnadello;2018-02-22;4
Agnadello;2018-02-24;2
Agnadello;2018-02-25;2
Agnadello;2018-02-26;1
Agnadello;2018-02-27;1
Agnadello;2018-02-28;7
Agnadello;2018-03-01;1
Agnadello;2018-03-03;1
Agnadello;2018-03-06;1
Agnadello;2018-03-07;2
Agnadello;2018-03-08;3
Agnadello;2018-03-09;2
Agnadello;2018-03-10;7
Agnadello;2018-03-12;3
Agnadello;2018-03-14;2
Agnadello;2018-03-15;1
Agnadello;2018-03-16;1
Agnadello;2018-03-17;2
Agnadello;2018-03-18;1
Agnadello;2018-03-19;1
Agnadello;2018-03-20;2
Agnadello;2018-03-21;2
Agnadello;2018-03-22;3
Agnadello;2018-03-23;2
Agnadello;2018-03-24;2
Agnadello;2018-03-26;4
Agnadello;2018-03-28;2
Agnadello;2018-03-29;7
Agnadello;2018-03-31;1
Agnadello;2018-04-01;1
Agnadello;2018-04-03;1
Agnadello;2018-04-04;2
Agnadello;2018-04-06;4
Agnadello;2018-04-07;1
Agnadello;2018-04-08;1
Agnadello;2018-04-10;2
Agnadello;2018-04-11;1
Agnadello;2018-04-12;3
Agnadello;2018-04-13;1
Agnadello;2018-04-14;2
Agnadello;2018-04-15;1
Agnadello;2018-04-16;4
Agnadello;2018-04-17;2
Agnadello;2018-04-19;5
Agnadello;2018-04-21;1
Agnadello;2018-04-22;1
Agnadello;2018-04-23;2
Agnadello;2018-04-24;4
Agnadello;2018-04-26;3
Agnadello;2018-04-27;3
Agnadello;2018-04-28;2
Agnadello;2018-04-29;1
Agnadello;2018-04-30;1
Agnadello;2018-05-03;1
Agnadello;2018-05-04;3
Agnadello;2018-05-05;3
Agnadello;2018-05-08;2
Agnadello;2018-05-09;9
Agnadello;2018-05-10;1
Agnadello;2018-05-11;4
Agnadello;2018-05-12;1
Agnadello;2018-05-14;1
Agnadello;2018-05-16;1
Agnadello;2018-05-17;3
Agnadello;2018-05-23;1
Agnadello;2018-05-24;2
Agnadello;2018-05-25;2
Agnadello;2018-05-26;2
Agnadello;2018-05-27;1
Agnadello;2018-05-28;1
Agnadello;2018-05-29;3
Agnadello;2018-06-01;2
Agnadello;2018-06-06;5
Agnadello;2018-06-07;1
Agnadello;2018-06-09;4
Agnadello;2018-06-11;1
Agnadello;2018-06-12;1
Agnadello;2018-06-13;1
Agnadello;2018-06-15;4
Agnadello;2018-06-18;2
Agnadello;2018-06-19;6
Agnadello;2018-06-20;2
Agnadello;2018-06-21;11
Agnadello;2018-06-22;2
Agnadello;2018-06-23;3
Agnadello;2018-06-25;2
Agnadello;2018-06-26;2
Agnadello;2018-06-27;6
Agnadello;2018-06-29;3
Agnadello;2018-06-30;3
Agnadello;2018-07-02;1
Agnadello;2018-07-03;3
Agnadello;2018-07-04;5
Agnadello;2018-07-05;2
Agnadello;2018-07-06;1
Agnadello;2018-07-07;2
Agnadello;2018-07-09;4
Agnadello;2018-07-11;2
Agnadello;2018-07-12;1
Agnadello;2018-07-13;1
Agnadello;2018-07-14;1
Agnadello;2018-07-15;1
Agnadello;2018-07-16;1
Agnadello;2018-07-17;1
Agnadello;2018-07-18;2
Agnadello;2018-07-20;1
Agnadello;2018-07-21;3
Agnadello;2018-07-22;1
Agnadello;2018-07-23;3
Agnadello;2018-07-26;1
